order_date,order_value,quantity,discount_amount,shipping_cost,product_category,payment_method,shipping_type,promotion_code,return_flag,day_of_week,day_name,month,quarter,is_weekend,hour_of_day,week_of_year,season,recency_days,frequency,monetary_total,avg_order_value,customer_return_rate,total_returns,product_return_rate,category_return_rate,customer_hist_return_rate,value_per_item,discount_rate,shipping_ratio
2023-02-07 09:00:00,356.84,2,24.23,12.99,Books,Credit Card,Express,SUMMER20,0,1,Tuesday,2,1,0,9,6,Winter,4,1,356.84,356.84,0.0,0,0.087,0.0964,0.0,178.41991079004458,0.0679015803500124,0.03640286953143462
2023-01-04 18:00:00,435.63,4,18.28,18.09,Sports,Bank Transfer,Next Day,0,0,2,Wednesday,1,1,0,18,1,Winter,26,3,964.09,321.36,0.0,0,0.087,0.075,0.0,108.9074727731318,0.041962215545388946,0.04152606560263052
2023-01-12 20:00:00,78.43,4,35.47,6.14,Books,Credit Card,Next Day,0,0,3,Thursday,1,1,0,20,2,Winter,26,3,964.09,321.36,0.0,0,0.087,0.0964,0.0,19.607495098126225,0.45225040861595805,0.07828636901330652
2023-01-16 07:00:00,450.03,2,20.23,17.91,Electronics,Credit Card,Standard,WELCOME10,0,0,Monday,1,1,0,7,3,Winter,26,3,964.09,321.36,0.0,0,0.0,0.1162,0.0,225.01488749255623,0.044952558618419756,0.03979734675511112
2023-01-08 11:00:00,254.12,2,1.46,4.42,Home,Credit Card,Next Day,SUMMER20,0,6,Sunday,1,1,1,11,1,Winter,17,2,662.97,331.48,0.0,0,0.0,0.075,0.0,127.05993647003176,0.005745317150380461,0.017393357400466877
2023-01-25 02:00:00,408.85,1,5.27,9.32,Sports,Credit Card,Standard,SUMMER20,0,2,Wednesday,1,1,0,2,4,Winter,17,2,662.97,331.48,0.0,0,0.087,0.075,0.0,408.8495911504089,0.01288981285828589,0.022795646269302566
2023-02-09 21:00:00,454.01,1,14.29,3.66,Electronics,Bank Transfer,Standard,FLASHSALE,0,3,Thursday,2,1,0,21,6,Winter,1,1,454.01,454.01,0.0,0,0.1667,0.1162,0.0,454.00954599045406,0.0314750775721348,0.008061496425053421
2023-01-16 15:00:00,135.82,1,18.7,16.49,Books,Credit Card,Next Day,FLASHSALE,0,0,Monday,1,1,0,15,3,Winter,6,2,211.23,105.62,0.0,0,0.087,0.0964,0.0,135.81986418013582,0.13768222546250755,0.12141068972602938
2023-02-04 18:00:00,75.41,3,29.16,4.2,Clothing,Bank Transfer,Express,0,0,5,Saturday,2,1,1,18,5,Winter,6,2,211.23,105.62,0.0,0,0.087,0.0763,0.0,25.13665828778057,0.38668611077196513,0.05569553035810198
2023-02-11 11:00:00,412.6,4,7.72,14.84,Home,Bank Transfer,Standard,SUMMER20,0,5,Saturday,2,1,1,11,6,Winter,0,1,412.6,412.6,0.0,0,0.087,0.075,0.0,103.14997421250645,0.018710615562989297,0.03596703820657528
2023-01-30 20:00:00,31.16,1,16.23,1.6,Electronics,PayPal,Next Day,FLASHSALE,0,0,Monday,1,1,0,20,5,Winter,2,2,352.11,176.06,0.0,0,0.4,0.1162,0.0,31.159968840031162,0.5208600603061598,0.05134788025199358
2023-02-09 11:00:00,320.95,2,27.63,4.64,Home,Bank Transfer,Standard,0,0,3,Thursday,2,1,0,11,6,Winter,2,2,352.11,176.06,0.0,0,0.087,0.075,0.0,160.4749197625401,0.08608817546007735,0.01445708049709587
2023-01-03 20:00:00,330.71,2,42.35,8.86,Clothing,Credit Card,Express,0,0,1,Tuesday,1,1,0,20,1,Winter,38,1,330.71,330.71,0.0,0,0.087,0.0763,0.0,165.35491732254133,0.12805781461686128,0.02679084386081206
